;p_value;reject;matrix_singular;no_variance
HIRING_SAMPLE_SIZE;0.0;different means;True;
LABOR_MARKET;0.0;different means;True;
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.0;different means;True;
MARKUP;1.9214371565030078e-106;different means;True;
MAX_LOAN_TO_VALUE;0.0;different means;True;
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.0;different means;True;
NEIGHBORHOOD_EFFECT;0.0754607304768921;equal means;;
OFFER_SIZE_ON_PRICE;0.0;different means;True;
PCT_DISTANCE_HIRING;0.0;different means;;
PERCENTAGE_ACTUAL_POP;1.8285989156954314e-54;different means;;
PERCENTAGE_ENTERING_ESTATE_MARKET;0.0;different means;True;
PERCENT_CONSTRUCTION_FIRMS;0.0;different means;;
POLICY_COEFFICIENT;6.551418203016177e-141;different means;;
POLICY_DAYS;1.0342704185594116e-89;different means;;
POLICY_QUANTILE;1.234351061793054e-22;different means;;
PRIVATE_TRANSIT_COST;5.963654000169005e-13;different means;True;
PRODUCTIVITY_EXPONENT;0.0;different means;;
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.0;different means;;
PUBLIC_TRANSIT_COST;0.0;different means;;
SIZE_MARKET;5.652816378572024e-18;different means;;
STICKY_PRICES;0.0;different means;True;
TAX_ESTATE_TRANSACTION;0.0;different means;;
TOTAL_DAYS;0.0;different means;True;
ALTERNATIVE0_False;0.0;different means;True;
ALTERNATIVE0_True;0.0;different means;True;
FPM_DISTRIBUTION_False;0.0;different means;True;
FPM_DISTRIBUTION_True;0.0;different means;True;
INTEREST_fixed;0.0;different means;True;
INTEREST_nominal;0.0;different means;True;
INTEREST_real;0.0;different means;True;
POLICIES_buy;0.17092932276826314;equal means;;
POLICIES_no_policy;3.1778974688820265e-27;different means;;
POLICIES_rent;1.6663439716771836e-17;different means;;
POLICIES_wage;6.758344903102266e-07;different means;;
PROCESSING_ACPS_ARACAJU;0.0;different means;True;
PROCESSING_ACPS_BELEM;0.1162007976061498;equal means;;
PROCESSING_ACPS_BELO HORIZONTE;1.1697634664535147e-27;different means;;
PROCESSING_ACPS_BRASILIA;;;True;
PROCESSING_ACPS_CAMPINA GRANDE;0.0;different means;True;
PROCESSING_ACPS_CAMPINAS;1.4002298373298821e-08;different means;;
PROCESSING_ACPS_CAMPO GRANDE;0.0;different means;True;
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.0;different means;True;
PROCESSING_ACPS_CAXIAS DO SUL;0.0;different means;True;
PROCESSING_ACPS_CRAJUBAR;0.0;different means;True;
PROCESSING_ACPS_CUIABA;0.0;different means;True;
PROCESSING_ACPS_CURITIBA;0.0003404150969733985;different means;;
PROCESSING_ACPS_FEIRA DE SANTANA;0.0;different means;True;
PROCESSING_ACPS_FLORIANOPOLIS;0.0;different means;True;
PROCESSING_ACPS_FORTALEZA;0.08016746565461003;equal means;;
PROCESSING_ACPS_GOIANIA;0.0;different means;True;
PROCESSING_ACPS_ILHEUS - ITABUNA;0.0;different means;True;
PROCESSING_ACPS_IPATINGA;0.0;different means;True;
PROCESSING_ACPS_JOAO PESSOA;0.0;different means;True;
PROCESSING_ACPS_JOINVILLE;0.0;different means;True;
PROCESSING_ACPS_JUIZ DE FORA;0.0;different means;True;
PROCESSING_ACPS_JUNDIAI;0.0;different means;True;
PROCESSING_ACPS_LONDRINA;0.0;different means;True;
PROCESSING_ACPS_MACAPA;0.0;different means;True;
PROCESSING_ACPS_MACEIO;0.0;different means;True;
PROCESSING_ACPS_MANAUS;0.0;different means;True;
PROCESSING_ACPS_MARINGA;0.0;different means;True;
PROCESSING_ACPS_NATAL;0.0;different means;True;
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.0;different means;True;
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.0;different means;True;
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.0;different means;True;
PROCESSING_ACPS_PORTO ALEGRE;0.0;different means;True;
PROCESSING_ACPS_RECIFE;0.0;different means;True;
PROCESSING_ACPS_RIBEIRAO PRETO;0.0;different means;True;
PROCESSING_ACPS_RIO DE JANEIRO;1.7375468443184282e-20;different means;;
PROCESSING_ACPS_SALVADOR;0.7441317982184359;equal means;;
PROCESSING_ACPS_SANTOS;0.0;different means;True;
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.0;different means;True;
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.0;different means;True;
PROCESSING_ACPS_SAO LUIS;0.0;different means;True;
PROCESSING_ACPS_SAO PAULO;1.6803114151848255e-21;different means;;
PROCESSING_ACPS_SOROCABA;0.0;different means;True;
PROCESSING_ACPS_TERESINA;0.0;different means;True;
PROCESSING_ACPS_UBERLANDIA;0.0;different means;True;
PROCESSING_ACPS_VITORIA;0.0;different means;True;
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.0;different means;True;
STARTING_DAY_2000-01-01;0.0;different means;True;
STARTING_DAY_2010-01-01;0.0;different means;True;
T_LICENSES_PER_REGION_False;0.0;different means;True;
T_LICENSES_PER_REGION_True;0.0;different means;True;
T_LICENSES_PER_REGION_random;0.0;different means;True;
WAGE_IGNORE_UNEMPLOYMENT_True;;;True;True
Tree;;;True;
