Tabela 6579 - População residente estimada		
Variável - População residente estimada (Pessoas)		
Cód.	Município	
Cód.	Município	2021
1100015	Alta Floresta D'Oeste (RO)	22516
1100023	Ariquemes (RO)	111148
1100031	Cabixi (RO)	5067
1100049	Cacoal (RO)	86416
1100056	Cerejeiras (RO)	16088
1100064	Colorado do Oeste (RO)	15213
1100072	Corumbiara (RO)	7052
1100080	Costa Marques (RO)	19255
1100098	Espigão D'Oeste (RO)	33009
1100106	Guajará-Mirim (RO)	46930
1100114	Jaru (RO)	51469
1100122	Ji-Paraná (RO)	131026
1100130	Machadinho D'Oeste (RO)	41724
1100148	Nova Brasilândia D'Oeste (RO)	20504
1100155	Ouro Preto do Oeste (RO)	35445
1100189	Pimenta Bueno (RO)	37098
1100205	Porto Velho (RO)	548952
1100254	Presidente Médici (RO)	18165
1100262	Rio Crespo (RO)	3843
1100288	Rolim de Moura (RO)	55748
1100296	Santa Luzia D'Oeste (RO)	5942
1100304	Vilhena (RO)	104517
1100320	São Miguel do Guaporé (RO)	23147
1100338	Nova Mamoré (RO)	32184
1100346	Alvorada D'Oeste (RO)	13807
1100379	Alto Alegre dos Parecis (RO)	13268
1100403	Alto Paraíso (RO)	22258
1100452	Buritis (RO)	41043
1100502	Novo Horizonte do Oeste (RO)	8125
1100601	Cacaulândia (RO)	6307
1100700	Campo Novo de Rondônia (RO)	14391
1100809	Candeias do Jamari (RO)	28068
1100908	Castanheiras (RO)	2923
1100924	Chupinguaia (RO)	11755
1100940	Cujubim (RO)	27131
1101005	Governador Jorge Teixeira (RO)	7130
1101104	Itapuã do Oeste (RO)	10819
1101203	Ministro Andreazza (RO)	9461
1101302	Mirante da Serra (RO)	10691
1101401	Monte Negro (RO)	16158
1101435	Nova União (RO)	6822
1101450	Parecis (RO)	6319
1101468	Pimenteiras do Oeste (RO)	2127
1101476	Primavera de Rondônia (RO)	2697
1101484	São Felipe D'Oeste (RO)	4962
1101492	São Francisco do Guaporé (RO)	21088
1101500	Seringueiras (RO)	11846
1101559	Teixeirópolis (RO)	4160
1101609	Theobroma (RO)	10348
1101708	Urupá (RO)	11081
1101757	Vale do Anari (RO)	11545
1101807	Vale do Paraíso (RO)	6490
1200013	Acrelândia (AC)	15721
1200054	Assis Brasil (AC)	7649
1200104	Brasiléia (AC)	27123
1200138	Bujari (AC)	10572
1200179	Capixaba (AC)	12280
1200203	Cruzeiro do Sul (AC)	89760
1200252	Epitaciolândia (AC)	18979
1200302	Feijó (AC)	34986
1200328	Jordão (AC)	8628
1200336	Mâncio Lima (AC)	19643
1200344	Manoel Urbano (AC)	9701
1200351	Marechal Thaumaturgo (AC)	19727
1200385	Plácido de Castro (AC)	20147
1200393	Porto Walter (AC)	12497
1200401	Rio Branco (AC)	419452
1200427	Rodrigues Alves (AC)	19767
1200435	Santa Rosa do Purus (AC)	6893
1200450	Senador Guiomard (AC)	23446
1200500	Sena Madureira (AC)	47168
1200609	Tarauacá (AC)	43730
1200708	Xapuri (AC)	19866
