;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.6551724137930982;0.5104876479536539;0.6532992844448833;0.5101688986078934;-4.512152392323055;6.417305233667831e-06;yes
LABOR_MARKET;0.8125;0.7014794522220047;0.808099013220924;0.6995712604004236;-4.58839503341905;4.466668022155436e-06;yes
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.625;0.5284950071762037;0.6232396052883695;0.5277628864052186;-4.10414137829098;4.058192476212558e-05;yes
MARKUP;0.5;0.504992576810767;0.5;0.5051208502670981;-4.2832320119086305;1.8419792159583326e-05;yes
MAX_LOAN_TO_VALUE;0.625;0.5317694227234433;0.6232396052883695;0.5315149707834339;-4.181660711277087;2.8938759096578073e-05;yes
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.4736842105263189;0.4441253357612301;0.4740548199393154;0.44460652313774673;-3.6711004403187433;0.00024150840235735404;yes
NEIGHBORHOOD_EFFECT;0.5708463949843295;0.579431579727522;0.6005748227630653;0.5805433937680716;-4.037087354972311;5.411892129750611e-05;yes
OFFER_SIZE_ON_PRICE;0.5;0.4833520715531224;0.5;0.48368812649909465;-4.427211633823533;9.545906285407978e-06;yes
PCT_DISTANCE_HIRING;0.30000000000000243;0.34117089453135907;0.30281663153865146;0.34358535624869013;-2.0537472830528243;0.04000015760894565;yes
PERCENTAGE_ACTUAL_POP;0.11849529780564347;0.18531656453032685;0.2034872580954445;0.35617749837645507;-2.1536375455676047;0.031268607457576356;yes
PERCENTAGE_ENTERING_ESTATE_MARKET;0.07142857142857129;0.49245527060011524;0.07746421043986697;0.5002131177961688;-1.2669016222379308;0.20519046860767243;no
PERCENT_CONSTRUCTION_FIRMS;0.200000000000002;0.44626109300071176;0.20362138340680683;0.44674219393487913;-3.84279798273847;0.00012163958989668936;yes
POLICY_COEFFICIENT;0.712121212121217;0.5197887234545038;0.7157182091078331;0.5218950759904589;-1.63933767787815;0.1011429532233816;no
POLICY_DAYS;0.6833855799373041;0.24590462604741073;0.8059973174937728;0.2564264715345877;-1.6163806131931593;0.1060120472923957;no
POLICY_QUANTILE;0.3416927899686521;0.24788627205447095;0.39897489940601655;0.2529569105392813;-1.5648592979414973;0.11761590413875898;no
PRIVATE_TRANSIT_COST;0.5;0.49819474379368217;0.5000000000000001;0.49878261187379697;-3.797928359695232;0.0001459104787325309;yes
PRODUCTIVITY_EXPONENT;0.6666666666666718;0.5791064515671889;0.6643194737179129;0.578898549256353;-4.299477993883233;1.7120087342799604e-05;yes
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.3142857142857162;0.5664745487739672;0.31690115785725625;0.5676377933383646;-2.154307238452419;0.03121608560045811;yes
PUBLIC_TRANSIT_COST;0.100000000000001;0.1949081786447838;0.10563326307722591;0.20165123521733638;-1.2696388690447278;0.2042132972693771;no
SIZE_MARKET;0.4736842105263189;0.475577318234467;0.47394893153560846;0.4754906549153186;-4.225885463867749;2.380030329986271e-05;yes
STICKY_PRICES;0.5;0.4893347178722027;0.5000000000000001;0.48940146658487377;-4.464431533113905;8.028161482199523e-06;yes
TAX_ESTATE_TRANSACTION;0.6666666666666824;0.5137318624052781;0.6643194737179137;0.5135674131603246;-4.3838529865378035;1.1659847454101703e-05;yes
TOTAL_DAYS;0.0;0.2035495876830495;0.012071278022609695;0.21103305917122905;-1.3752472434880951;0.16905480618477908;no
