;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_SVC;SVC_0;SVC_1;tot_Voting;Voting_0;Voting_1
CONSTRUCTION_ACC_CASH_FLOW;23.9171;23.88728;24.023167;23.929286;24.032998;23.875278;23.929286;23.928517;23.991653;23.929286;23.965138;23.895721;23.929286;24.147166;23.227026
HIRING_SAMPLE_SIZE;19.898259;19.90023;19.891251;19.873725;19.795647;19.914384;19.873725;19.872306;19.988861;19.873725;19.837869;19.907293;19.873725;19.8097;20.080088
LABOR_MARKET;0.743406;0.744249;0.740406;0.738585;0.736804;0.739512;0.738585;0.738619;0.735782;0.738585;0.738498;0.738666;0.738585;0.737573;0.741847
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.597362;0.597387;0.597274;0.598304;0.596879;0.599045;0.598304;0.598305;0.59821;0.598304;0.598162;0.598436;0.598304;0.597223;0.601785
LOT_COST;0.150942;0.150977;0.150818;0.151044;0.151416;0.150851;0.151044;0.151048;0.150753;0.151044;0.15102;0.151067;0.151044;0.151183;0.150599
MARKUP;0.15;0.149851;0.150531;0.149984;0.150117;0.149915;0.149984;0.149997;0.148967;0.149984;0.149934;0.150032;0.149984;0.149917;0.150203
MAX_LOAN_TO_VALUE;0.597362;0.597356;0.597383;0.597562;0.597744;0.597468;0.597562;0.597543;0.599158;0.597562;0.597622;0.597507;0.597562;0.597426;0.598003
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.0001;0.0001;0.0001;0.0001;0.000101;0.0001;0.0001;0.0001;0.000101;0.0001;0.0001;0.0001;0.0001;0.000101;0.000099
NEIGHBORHOOD_EFFECT;2.988695;2.986207;2.997547;2.987971;2.997823;2.98284;2.987971;2.987658;3.013383;2.987971;2.987836;2.988097;2.987971;2.988009;2.987847
OFFER_SIZE_ON_PRICE;2;2;2;2.0034;2.001499;2.004389;2.0034;2.003481;1.996806;2.0034;2.001212;2.005448;2.0034;2.002867;2.005118
PCT_DISTANCE_HIRING;0.305275;0.305563;0.304252;0.306628;0.308269;0.305774;0.306628;0.30658;0.310547;0.306628;0.306592;0.306663;0.306628;0.30778;0.302918
PERCENTAGE_ACTUAL_POP;0.010164;0.010162;0.010172;0.010207;0.010412;0.0101;0.010207;0.010207;0.010219;0.010207;0.010205;0.010209;0.010207;0.010275;0.009987
PERCENTAGE_ENTERING_ESTATE_MARKET;0.005054;0.005058;0.005041;0.005005;0.005104;0.004953;0.005005;0.005004;0.005063;0.005005;0.004998;0.005011;0.005005;0.005067;0.004805
PERCENT_CONSTRUCTION_FIRMS;0.030339;0.030349;0.030303;0.030327;0.030349;0.030316;0.030327;0.030325;0.030514;0.030327;0.03029;0.030363;0.030327;0.03032;0.030352
POLICY_COEFFICIENT;0.20009;0.200115;0.2;0.200488;0.19893;0.2013;0.200488;0.200496;0.199882;0.200488;0.200112;0.200841;0.200488;0.200135;0.201629
POLICY_DAYS;340.330163;340.137931;341.0139;339.924022;351.225814;334.038607;339.924022;342.598674;123.004973;339.924022;395.710017;287.6981;339.924022;360.256413;274.389651
POLICY_QUANTILE;0.187565;0.187103;0.189207;0.187983;0.191893;0.185947;0.187983;0.187979;0.188323;0.187983;0.187828;0.188128;0.187983;0.189776;0.182206
PRIVATE_TRANSIT_COST;0.25;0.250192;0.249319;0.249913;0.250295;0.249714;0.249913;0.249939;0.24783;0.249913;0.249639;0.250169;0.249913;0.250001;0.249628
PRODUCTIVITY_EXPONENT;0.596043;0.595448;0.59816;0.595472;0.583319;0.601801;0.595472;0.595428;0.599069;0.595472;0.595732;0.595228;0.595472;0.593578;0.601577
