;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.6551724137930982;0.5104876479536539;0.6532992844448833;0.5101688986078934;-15.690259933005029;1.7633205258504393e-55;yes
LABOR_MARKET;0.8125;0.7014794522220047;0.808099013220924;0.6995712604004236;-14.592248614504015;3.146530543483635e-48;yes
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.625;0.5284950071762037;0.6232396052883695;0.5277628864052186;-14.586215445659002;3.437448460020009e-48;yes
MARKUP;0.5;0.504992576810767;0.5;0.5051208502670981;-14.905935776279769;3.015579273979568e-50;yes
MAX_LOAN_TO_VALUE;0.625;0.5317694227234433;0.6232396052883695;0.5315149707834339;-14.586215445658874;3.437448460026485e-48;yes
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.4736842105263189;0.4441253357612301;0.4740548199393154;0.44460652313774673;-11.832827126932909;2.640943605923266e-32;yes
NEIGHBORHOOD_EFFECT;0.5708463949843295;0.579431579727522;0.6005748227630653;0.5805433937680716;-15.212430951042446;2.9247744763388156e-52;yes
OFFER_SIZE_ON_PRICE;0.5;0.4833520715531224;0.5;0.48368812649909465;-14.024855543909158;1.0983556017769907e-44;yes
PCT_DISTANCE_HIRING;0.30000000000000243;0.34117089453135907;0.30281663153865146;0.34358535624869013;-6.470111137960811;9.793086182793171e-11;yes
PERCENTAGE_ACTUAL_POP;0.11849529780564347;0.18531656453032685;0.2034872580954445;0.35617749837645507;-3.3315982633880155;0.0008634880940478206;yes
PERCENTAGE_ENTERING_ESTATE_MARKET;0.07142857142857129;0.49245527060011524;0.07746421043986697;0.5002131177961688;-1.1666013686113428;0.24337139039629618;no
PERCENT_CONSTRUCTION_FIRMS;0.200000000000002;0.44626109300071176;0.20362138340680683;0.44674219393487913;-4.005597039260799;6.186103076706867e-05;yes
POLICY_COEFFICIENT;0.712121212121217;0.5197887234545038;0.7157182091078331;0.5218950759904589;-4.420561458690337;9.844478111841641e-06;yes
POLICY_DAYS;0.6833855799373041;0.24590462604741073;0.8059973174937728;0.2564264715345877;-1.3099801567090867;0.19020254853449514;no
POLICY_QUANTILE;0.3416927899686521;0.24788627205447095;0.39897489940601655;0.2529569105392813;-1.5220755232681702;0.1279901582249558;no
PRIVATE_TRANSIT_COST;0.5;0.49819474379368217;0.5000000000000001;0.49878261187379697;-12.520392132196003;5.774913275291355e-36;yes
PRODUCTIVITY_EXPONENT;0.6666666666666718;0.5791064515671889;0.6643194737179129;0.578898549256353;-14.830117210636548;9.356943669055004e-50;yes
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.3142857142857162;0.5664745487739672;0.31690115785725625;0.5676377933383646;-6.90263329453698;5.104728430054986e-12;yes
PUBLIC_TRANSIT_COST;0.100000000000001;0.1949081786447838;0.10563326307722591;0.20165123521733638;-1.6625085761028098;0.09641084523962253;no
SIZE_MARKET;0.4736842105263189;0.475577318234467;0.47394893153560846;0.4754906549153186;-13.25633117004575;4.146925816969294e-40;yes
STICKY_PRICES;0.5;0.4893347178722027;0.5000000000000001;0.48940146658487377;-12.520392146146424;5.7749122602629244e-36;yes
TAX_ESTATE_TRANSACTION;0.6666666666666824;0.5137318624052781;0.6643194737179137;0.5135674131603246;-14.83011721063383;9.356943669433807e-50;yes
TOTAL_DAYS;0.0;0.2035495876830495;0.012071278022609695;0.21103305917122905;-0.11764382813717009;0.9063498762201739;no
